--IOqc-XgYo_000000.mp4,playing piano
-X2YkS4G4dg_000003.mp4,tap dancing
-cKVrbxrDcU_000024.mp4,air conditioning noise
-ApKgZOHx3o_000158.mp4,people eating crisps
-KpXEoL4rW8_000011.mp4,coyote howling
-RZrKy8WEng_000030.mp4,"engine accelerating, revving, vroom"
-bW55o5ZfEg_000030.mp4,female singing
-JUBdOr8Hes_000030.mp4,playing accordion
-KqXcm-I2zY_000162.mp4,playing tennis
-HLpz_jAcGs_000481.mp4,plastic bottle crushing
--SvivLlKLU_000662.mp4,airplane
-1B4--7U1xY_000002.mp4,"vehicle horn, car horn, honking"
-ArvKFeOHQs_000023.mp4,playing timpani
-gGig7u9o2c_000163.mp4,"playing steel guitar, slide guitar"
-6EzbBAmvjA_000030.mp4,female singing
-7-qu1Ma5T4_000002.mp4,elephant trumpeting
-i25riuPgjc_000030.mp4,child singing
-3-4qmWSJXU_000030.mp4,thunder
-aVOTtH7jZo_000000.mp4,people screaming
-P53lJ1ViWk_000030.mp4,driving buses
-3WQytGKbrA_000028.mp4,playing didgeridoo
-3PdsZqxOwA_000040.mp4,people farting
-hSwZyPPJTc_000075.mp4,fox barking
-bxu7eXtSaE_000094.mp4,lawn mowing
-QYcCxdc5gM_000030.mp4,playing acoustic guitar
-By6I234TSs_000010.mp4,playing synthesizer
-5qzWUgsszA_000540.mp4,fireworks banging
-dGjMmDLqUk_000030.mp4,stream burbling
-kPDH9n0PG4_000310.mp4,"railroad car, train wagon"
-gKy8P-N5aY_000070.mp4,"bird chirping, tweeting"
-R2JRLt3xjc_000585.mp4,playing snare drum
-Ur-eX5Hnww_000030.mp4,playing bass guitar
-H9TUxVr-e8_000227.mp4,"playing steel guitar, slide guitar"
-5VoaeTlokE_000107.mp4,yodelling
-KrDQXnlXRw_000010.mp4,toilet flushing
--SvivLlKLU_000137.mp4,airplane
-lWJgyAa4Tc_000090.mp4,driving motorcycle
-1qyr-IzqKY_000060.mp4,playing accordion
-N0qJZkizOw_000030.mp4,"male speech, man speaking"
-A1o1Egi20c_000060.mp4,church bell ringing
-iF4a6f5PJ8_000060.mp4,pheasant crowing
--PlJNEnf-s_000288.mp4,"bee, wasp, etc. buzzing"
-PN3OIo-oT4_000056.mp4,ambulance siren
-YpovYcGB4I_000012.mp4,cat meowing
-PvlrLjIAYo_000009.mp4,parrot talking
-e2_-npbIQg_000080.mp4,people hiccup
-fuhtk0F6Ww_000002.mp4,elephant trumpeting
-EOHzvnHYPE_000200.mp4,playing trumpet
-aX2jS2mjhw_000001.mp4,footsteps on snow
-hNChOqVjgY_000068.mp4,otter growling
-HmWDdmTAE8_000065.mp4,firing cannon
-DvBRaivb3g_000056.mp4,striking pool
-1KVzbdvkdg_000054.mp4,playing bagpipes
-c-39Bten_E_000821.mp4,playing double bass
-8jIrsdD8CM_000002.mp4,playing djembe
-drfe7nm88k_000030.mp4,playing harp
--Q8wkZvDZE_000150.mp4,people whispering
-1UP2kG24nM_000050.mp4,"rowboat, canoe, kayak rowing"
-Qo6QJo_tJA_000030.mp4,"female speech, woman speaking"
-3tuTtK-PyA_000111.mp4,playing sitar
-ZRub1poH_I_000070.mp4,cat meowing
-VS-TWu5FDI_000003.mp4,dog whimpering
-_f_ClsDxyc_000080.mp4,playing clarinet
-Ls9TLd17DY_000030.mp4,"male speech, man speaking"
-32IrasDuMg_000000.mp4,people sobbing
-PbMtqEwVJg_000979.mp4,lip smacking
-XUtUwhOehU_000065.mp4,cricket chirping
-cGxEhd3A-Y_000042.mp4,people eating apple
-T06kz4MI20_000030.mp4,female singing
-0lrq0dgfnQ_000015.mp4,chimpanzee pant-hooting
-D9HD2eetiQ_000012.mp4,playing harpsichord
-Zy1XMM_6x8_000220.mp4,firing muskets
-ibJ1mubE68_000320.mp4,lions growling
-GAtUjgJpEA_000716.mp4,playing bass drum
-2LovF10IwM_000282.mp4,ice cracking
-i-7UK5k2ws_000124.mp4,gibbon howling
-RO4IF8Qv3c_000369.mp4,playing darts
-2JomCd5zzY_000287.mp4,child singing
-BlHH8Gi9hc_000022.mp4,playing saxophone
-XxzXTUaZug_000077.mp4,running electric fan
-ECRgvDx4xc_000030.mp4,playing banjo
-TuA6o40QhY_000959.mp4,people marching
-M8qt69nljE_000030.mp4,turkey gobbling
-6EMRv8oxXo_000030.mp4,"playing marimba, xylophone"
-SkaeD74V8Y_000030.mp4,helicopter
-HJQVouJd2w_000026.mp4,"pigeon, dove cooing"
-B7_MCn_xQo_000288.mp4,turkey gobbling
-Jcl3FrHFCc_000151.mp4,airplane flyby
-Y1HRPP7-eE_000374.mp4,strike lighter
-TUZB1d9ofA_000231.mp4,airplane
-ktcAshzoec_000064.mp4,cat purring
-NI_CnVFhJ4_000030.mp4,playing bass guitar
-BXq35CKegE_000070.mp4,"playing marimba, xylophone"
-HG3Omg_89c_000030.mp4,"motorboat, speedboat acceleration"
-CCbu3r-1pc_000030.mp4,child singing
-30UVzI7M1Y_000002.mp4,dog whimpering
-TCDqe327us_000030.mp4,"female speech, woman speaking"
-hJ1YTZ5AGI_000030.mp4,male singing
