Axd__X2rixk_000030.mp4,"['An animal is galloping with a clip-clop noise', 'A horse making clip-clop noises', 'Clip clops of a horse running by', 'A horse trotting', 'Clip clops from a horse']",test
_vwLjGKuh3I_000000.mp4,['Continuous emergency sirens'],train
9Gl_KORWuYU_000030.mp4,['A woman giving a speech into a microphone'],train
YswfgXQyNeM_000030.mp4,['A woman is talking followed by a bleating animal and more talking'],train
PtW0cZVprJQ_000010.mp4,"['A person snoring followed by a man talking', 'A person snoring followed by a man talking', 'Snoring followed by male speech', 'A person snoring followed by a man talking', 'Snoring is ongoing, and an adult male speaks']",test
a6z9eUhrr2U_000040.mp4,['Toilet flushing'],train
94iST2INWN0_000030.mp4,['Water flowing and streaming moderately while wildlife communicates vocally out loud'],train
_ZgFPPAyaQE_000040.mp4,['A man talks while an object is hit'],train
74UgFzo_HUk_000320.mp4,['A man yelling and gunfire'],train
m92zgm6gBtA_000020.mp4,['One frog croaks nearby while several frogs croak far away'],train
HSdDxuZaaVw_000200.mp4,['Music plays while a woman speaks and something scrapes against wood and then a man speaks and fires a gun'],train
2rVuoeLtOJI_000013.mp4,['Telephone dial tone'],train
D8YbgI1sglw_000006.mp4,['Waves break against a shore with a strong wind in the background'],train
7no2Sdk4WIM_000040.mp4,['Running water in sink while man talks'],train
kC6sAth8REI_000140.mp4,"['Wood is being hammered on, followed by sawing']",train
vo_tK7tIsj8_000120.mp4,['A girl sneezes and sniffles'],train
5eDt3oClx_8_000018.mp4,['Something mechanical is operating and making thumping sounds'],train
9H0Dd60QNCY_000040.mp4,['A truck engine rumbling as it idles'],train
1DzByK6xlNU_000020.mp4,['The horn of a large medical or bus in traffic'],train
B637w59y8i8_000030.mp4,['Man speaking with leaves rustling'],train
79fNdmn7UeE_000030.mp4,['A horse is trotting and neighs lightly'],train
2EtpdBnr3Fw_000030.mp4,['An engine struggles to idle'],train
Vo73clJ_1nU_000470.mp4,['A man is speaking as insects buzz with distant nature noises in the background'],train
_2LtoLL_OYY_000300.mp4,['A train running on railroad tracks in the distance growing closer than passing by as a train horn blows and railroad crossing signals ring'],train
WIAKHNLyap4_000590.mp4,['A sewing machine speeds up as a man talk'],train
zRxwnYo9Jbs_000000.mp4,"['Muffled speech followed by a gunshot, more speech and laughter']",train
NYmtEm8ste4_000170.mp4,['Metal softly clanking together followed by a louder metal clang then a power tool drill revving'],train
Sc0TRNFbZ9k_000030.mp4,['A man talks while birds tweet followed by some bees flying'],train
11SUq0U6ld8_000030.mp4,"['Man speaking followed by a whistle and conversation between men and women, some laughing']",train
cO_C0-Cv_uY_000140.mp4,['A vehicle engine idles continuously'],train
K68-h6il8ds_000200.mp4,['Bells ringing at different pitches'],train
-9D8GR2VBKE_000040.mp4,['Man speaks over beeping'],train
6R-21jU4JGI_000030.mp4,"['An emergency vehicle siren and horn are blowing, an adult male is speaking, and a motor vehicle engine is running']",train
68ovAQXXofA_000030.mp4,['A dog is barking in a high frequency and a man speaks'],train
7skEQoID6Os_000080.mp4,['A man and child speaking'],train
51pGpPC9VkM_000140.mp4,['A man is speaking and food is sizzling at the end'],train
WX4HhD1adkA_000000.mp4,['A whoosh followed by two men speaking'],train
meBQPBLJ95A_000090.mp4,['A low hum in the distance is broken by a quack'],train
6DAUg0daI1I_000000.mp4,['A baby continuously crying'],train
Juwr0mpllsc_000008.mp4,['Quick clacking followed by people cheering'],train
-YAs_hRbGxM_000030.mp4,['A large motor vehicle engine is running'],train
7Zk7_uDeUck_000160.mp4,['Men talking and laughing with cutlery clinking and car engine sounds passing in the background'],train
